T1,T2,T3,W1,W2,W3,TCOMI,TCOMO,POUT,PIN,CONIN,CONOUT,OUTCONO,EVPOUT,WULIAOT,ZKD,ZL,YSJDL,PZFKD,ZKBDL,EVPINT,Time_Stamp
22.02911377,22.72990417,23.47590256,54.10525131,53.45420074,53.71642685,22.89999962,22.79999924,4.717424393,4.701401711,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102342.3125,7.536937714,-0.002712723,0.0,0.000678181,23.0,2026-05-17 15:36:02
22.0562439,22.73442459,23.48042297,54.13237762,53.48584747,53.68930054,22.89999962,22.79999924,4.713355541,4.700696468,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102427.4531,7.310876846,-0.003390903,0.0,0.002712723,23.0,2026-05-17 15:36:03
22.033638,22.73442459,23.46686172,54.09621048,53.45420074,53.68930054,22.89999962,22.79999924,4.713355541,4.702459335,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102427.4531,7.536937714,-0.004747265,0.0,0.002034542,23.0,2026-05-17 15:36:04
22.06076431,22.72990417,23.47590256,54.11881638,53.45872116,53.69834137,22.89999962,22.79999924,4.718781471,4.702106953,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102342.3125,7.536937714,-0.003390903,0.0,0.001356361,23.0,2026-05-17 15:36:05
22.02911377,22.72537994,23.48494339,54.12786102,53.48584747,53.65765762,22.89999962,22.79999924,4.717424393,4.702106953,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102427.4531,7.762998581,-0.002712723,0.0,0.002712723,23.0,2026-05-17 15:36:06
22.02911377,22.75703049,23.43521118,54.12786102,53.46324539,53.71642685,22.79999924,22.79999924,4.718781471,4.702459335,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102342.3125,7.762998581,-0.002034542,0.0,0.001356361,23.0,2026-05-17 15:36:07
22.02459335,22.76607513,23.48042297,54.10073471,53.48132706,53.68930054,22.89999962,22.79999924,4.717424393,4.701401711,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102342.3125,7.310876846,-0.003390903,0.0,0.001356361,23.0,2026-05-17 15:36:08
22.02911377,22.77511597,23.47138214,54.08716965,53.48132706,53.68478394,22.79999924,22.79999924,4.717424393,4.701754093,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102427.4531,7.989057541,-0.002034542,0.0,0.002034542,23.0,2026-05-17 15:36:09
22.033638,22.72537994,23.46233749,54.12333679,53.44063568,53.75260162,22.79999924,22.79999924,4.720137596,4.702106953,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102342.3125,7.536937714,-0.003390903,0.0,0.0,23.0,2026-05-17 15:36:10
22.03815842,22.74346924,23.48042297,54.13237762,53.45420074,53.73451614,22.89999962,22.79999924,4.714712143,4.701754093,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102427.4531,7.989057541,-0.002712723,0.0,0.003390903,23.0,2026-05-17 15:36:11
22.06076431,22.72990417,23.48042297,54.13237762,53.38638306,53.68930054,22.89999962,22.79999924,4.714712143,4.701401711,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102256.9453,7.310876846,-0.003390903,0.0,0.000678181,23.0,2026-05-17 15:36:12
